동별,세대수,인구수,인구수(남),인구수(여),18세이상인구수,18세이상인구수(남),18세이상인구수(여)
복수동,8834,22716,11176,11540,18212,8894,9318
도마1동,7850,15179,7702,7477,13732,6943,6789
도마2동,8192,17455,8816,8639,15569,7822,7747
정림동,6809,16446,8041,8405,14218,6863,7355
변동,7716,16180,8245,7935,14267,7229,7038
괴정동,11149,19241,9369,9872,17084,8271,8813
가장동,5192,12155,5896,6259,10472,5044,5428
내동,9428,23936,11499,12437,19945,9546,10399
가수원동,16089,41537,20452,21085,32203,15685,16518
관저1동,6482,15798,7549,8249,13303,6259,7044
관저2동,19186,50533,24714,25819,39524,19073,20451
기성동,1969,3781,1952,1829,3556,1825,1731
용문동,7058,12427,5917,6510,11367,5360,6007
탄방동,14423,27440,13215,14225,23911,11352,12559
둔산1동,5831,17118,8437,8681,12642,6120,6522
둔산2동,14470,36320,17563,18757,29835,14218,15617
둔산3동,7942,20038,9666,10372,16538,7846,8692
갈마1동,11209,21596,11001,10595,19228,9729,9499
갈마2동,13104,25072,12528,12544,22141,11069,11072
월평1동,7062,11209,6012,5197,10423,5594,4829
월평2동,7230,14991,7144,7847,13208,6250,6958
월평3동,7647,21605,10604,11001,17689,8562,9127
만년동,5904,12912,6470,6442,10929,5465,5464
