시도명,시군구명,행정동명,법정동명,인구수 ,남성인구수 ,여성인구수 , 데이터기준일자 
대전광역시,중구,은행선화동,은행동,889,609,280,2021-03-31
대전광역시,중구,은행선화동,선화동,"14,831","7,500","7,331",2021-03-31
대전광역시,중구,목  동,목  동,"14,543","6,953","7,590",2021-03-31
대전광역시,중구,중촌동,중촌동,"13,103","6,375","6,728",2021-03-31
대전광역시,중구,대흥동,대흥동,"13,874","6,849","7,025",2021-03-31
대전광역시,중구,문창동,문창동,"4,651","2,442","2,209",2021-03-31
대전광역시,중구,석교동,석교동,"6,975","3,462","3,513",2021-03-31
대전광역시,중구,석교동,호동,"2,834","1,422","1,412",2021-03-31
대전광역시,중구,석교동,옥계동,"5,899","2,996","2,903",2021-03-31
대전광역시,중구,대사동,대사동,"5,475","2,669","2,806",2021-03-31
대전광역시,중구,부사동,부사동,"6,615","3,347","3,268",2021-03-31
대전광역시,중구,용두동,용두동,"9,452","4,530","4,922",2021-03-31
대전광역시,중구,오류동,오류동,"10,313","4,850","5,463",2021-03-31
대전광역시,중구,태평1동,태평동,"13,452","6,524","6,928",2021-03-31
대전광역시,중구,태평2동,태평동,"26,078","12,532","13,546",2021-03-31
대전광역시,중구,유천1동,유천동,"6,570","3,439","3,131",2021-03-31
대전광역시,중구,유천2동,유천동,"13,721","6,774","6,947",2021-03-31
대전광역시,중구,문화1동,문화동,"22,592","10,875","11,717",2021-03-31
대전광역시,중구,문화2동,문화동,"12,713","6,187","6,526",2021-03-31
대전광역시,중구,산성동,산성동,"18,861","9,460","9,401",2021-03-31
대전광역시,중구,산성동,사정동,"5,968","3,083","2,885",2021-03-31
대전광역시,중구,산성동,안영동,"1,635",897,738,2021-03-31
대전광역시,중구,산성동,무수동,85,47,38,2021-03-31
대전광역시,중구,산성동,구완동,73,36,37,2021-03-31
대전광역시,중구,산성동,침산동,150,71,79,2021-03-31
대전광역시,중구,산성동,목달동,118,70,48,2021-03-31
대전광역시,중구,산성동,정생동,224,122,102,2021-03-31
대전광역시,중구,산성동,어남동,263,150,113,2021-03-31
대전광역시,중구,산성동,금동,132,69,63,2021-03-31
